iso_code,location,new_cases,new_deaths,total_cases,total_deaths,hospital_beds_per_thousand,life_expectancy,human_development_index,population,cases_per_million,deaths_per_million
IND,India,53601.0,871.0,2268675.0,45257.0,0.53,69.66,0.645,1417173120.0,1600.8453504960637,31.93470110412481
IND,India,60963.0,834.0,2329638.0,46091.0,0.53,69.66,0.645,1417173120.0,1643.8626778357184,32.52319660141451
IND,India,66999.0,942.0,2396637.0,47033.0,0.53,69.66,0.645,1417173120.0,1691.1391884147506,33.187900148712956
IND,India,64553.0,1007.0,2461190.0,48040.0,0.53,69.66,0.645,1417173120.0,1736.6897277871035,33.898469652035175
IND,India,64732.0,996.0,2525922.0,49036.0,0.53,69.66,0.645,1417173120.0,1782.3665749460447,34.601277224337984
IND,India,64030.0,944.0,2589952.0,49980.0,0.53,69.66,0.645,1417173120.0,1827.5480697799292,35.26739203182177
IND,India,57711.0,941.0,2647663.0,50921.0,0.53,69.66,0.645,1417173120.0,1868.2706880582098,35.93138994902754
IND,India,55018.0,876.0,2702681.0,51797.0,0.53,69.66,0.645,1417173120.0,1907.0930444969208,36.54952191020953
IND,India,64572.0,1091.0,2767253.0,52888.0,0.53,69.66,0.645,1417173120.0,1952.6569908410343,37.31936434131632
IND,India,69672.0,978.0,2836925.0,53866.0,0.53,69.66,0.645,1417173120.0,2001.8196506577826,38.00947057195101
IND,India,68900.0,983.0,2905825.0,54849.0,0.53,69.66,0.645,1417173120.0,2050.437564042987,38.70310495304907
IND,India,69876.0,945.0,2975701.0,55794.0,0.53,69.66,0.645,1417173120.0,2099.7441723986412,39.36992539062553
IND,India,69239.0,912.0,3044940.0,56706.0,0.53,69.66,0.645,1417173120.0,2148.601294385262,40.013460035143765
IND,India,61408.0,836.0,3106348.0,57542.0,0.53,69.66,0.645,1417173120.0,2191.9326271161563,40.603366792618814
IND,India,60975.0,848.0,3167323.0,58390.0,0.53,69.66,0.645,1417173120.0,2234.9584220169236,41.20174111120595
IND,India,57224.0,967.0,3224547.0,59357.0,0.53,69.66,0.645,1417173120.0,2275.337398440072,41.88408541082123
